"Name","Stage","Soundcloud","Description"
"Junior Simba","The Ring","undefined","From Zimbabwe to Leeds, Junior Simba is making moves as one of the leading lights in the new wave of house and dance fusionists infiltrating post-lockdown line-ups. His influences merge into a sound combining dark, tense Amapiano and cosmic, zero-G Afrobeat, all wrapped up in futuristic soul. He's gained strong support from Jaguar, Danny Howard and Huw Stephens and key tastemaker support at Rinse FM. With this, Junior has been able to play alongside the likes of Mall Grab, Hunee, Hot Since 82, Patrick Topping, Adelphi Music Factory, O’Flynn and Mella Dee."
"Kaz Peet","Trash Manor","undefined","A dance floor delinquent and party DJ for many moons, Kaz-Selekta AKA Kaz Peet will make you move your feet. Keeping it Trashy at the Manor!"
"Kilimanjaro","Bushrocker Hi-Fi","https://on.soundcloud.com/cvGQXJHvUe5aoEbn9","Born and raised in the “shadow realm” to unleash the most hertical Dubplates! The Nintendo lover, the anime dubber! A Co-owner of Union Soundsytem, he’s been dubbing up and chanting down all over the UK with his special brand of steppas. Expect a educational journey of Reggae/Dub that will make you shout YAMI NO GAME"
"Madame Electrifie","The Ring","https://soundcloud.com/madame-electrifie","Madame Electrifie is the alter ego of breaks/electro/techno DJ Little Jo, fusing together her love of all things vintage with some dirty bass. Having played at some of the UK’s leading venues from Ministry to Turnmills, Madame E has also supported some of the biggest names in electronic music from Annie Nightingale to A Skillz, Krafty Kuts to 808 State and more. Expect a blend of classic grooves, hip hop, house and D&B with crazy showgirl-style glitter-fuelled antics. It’s swing meets synth, and big band meets bass – all complete with a pin curl and lashings of fun.                                                                              "
"Mark Turner","Trash Manor","https://on.soundcloud.com/9odwV  https://on.soundcloud.com/i63qZ","Former Eastern Bloc records employee and resident DJ at the legendary northern techno club The Orbit. Super slick stalwart of the techno and house scene for time.                                                                                "
"Mrs Magoo","The Fortress","https://soundcloud.com/mrsmagoo?fbclid=IwAR1Nl7aOCuQUerpJdgiqAvIpJGKPIcgoyrNNk5U7sKSb-4I9-rLJnpA6TAQ","Genuinely dedicated Junglist Mrs Magoo has shot up through the ranks in recent years, winning the We Love Jungle Best DJ award and affiliating with genre-topping names such as Kenny Ken, Bellyman and the Deep in the Jungle crew. She's toured internationally several times, smashed slots at Glasto and Boomtown, and regularly pulls in awards like Best Female DJ and Best Jungle DJ. You know damn well her performance at The Fortress is going to be massive."
"Nana Moon","BH&DWMSC","undefined","Nevermind that old Brenda in the palace it's time to present true BH&DWMC Royalty, Queen of the Club, fresh from the front room it's our very own Nana Moon!"
"Nicky General","Trash Manor","undefined","From early days setting up raves on the hills to running sound systems, Nicky General has been bringing energetic dancefloor-focussed sets to the Calder valley and beyond for over 20 years; in that time supporting the likes of Neil Barnes (Leftfield), Tom Findlay (Groove Armada), Mr Scruff, Lee Scratch Perry, Dreadzone, Zion Train and Johnny Osbourne amongst many others. Expect funky grooves, dubbed out jazz excursions and the finest world beats!                                                                               "
"Oppidan","The Ring","https://soundcloud.com/oppidanmusic","Undoubtedly one of the fastest rising names in UK Garage, Oppidan has made a name for herself with her distinctive production style blending 2-step, 4×4 NUKG, hip-hop, soul, grime and UK bass influences. She's had releases on Night Bass, 24 Hour Garage Girls and Steppers Club as well as being an active part of the Kiwi Rekords roster. As you'd expect she's playing here there and everywhere, including our very own Ring."
"Para","Trash Manor","undefined","Growing up in 1970s northern England, Para spent his early teenage years both in soul clubs such as Wigan Casino and Blackpool Mecca and punk venues like Erics in Liverpool. Later influences came from being around the beach parties in Goa 1980-83, Ibiza 83-87 and the early underground house scene in London 87-93. He has dj'ed around the world and is known for a mixture of soulful and psychedelic sounds.                                           "
"Paul Thornton","The Factory","undefined","Homegrown talent ahoy: Paul Thornton roams Lancashire as a regular at club nights Itch and Phreak, and you may recognise his dulcet tones (and voice) from Dig Deep on Preston FM."
"Paul Thornton","Trash Manor","https://soundcloud.com/paulthornton","With 25 years in the DJ game, Paul's party rocking mix up of disco, boogie, house, funk, techno, soul, afrobeat, jazz, and bass will have you dancing from the get go.A club and festival regular with residencies in Manchester's Northern Quarter, Paul has worked with some of the finest DJs from around the world including Mr Scruff, Jamie 3:26, Crazy P's Danielle Moore, Craig Charles, and Rahaan. He can often be found DJing behind closed doors in some dark seedy basement playing to a packed dancefloor, doing what he does best"
"Peza","Toil Trees","https://soundcloud.com/peza70","Peza has been a part of the nu-disco and re-edit scene for some time now, and has remixed/collaborated with artists such as Damon Albarn, Joe Goddard, Greg Wilson, Baba Ali, Dicky Trisco, Black Grape, Mike Smith (Gorillaz/Blur), amongst many others. Often on his travels to festivals up and down the country, including regular appearances at Festival No6 and Alfresco. Expect to hear anything from classic edits, fresh nu-disco, house, electro, acid-house..as long as it has that certain something!"
"Sammy Dean","The Fortress","undefined","Sammy brings you a fabulous mix of new house, house classics, disco and edits with an uplifting party vibe. Rising from the heady murk of 90s rave, Sammy was a face on the scene playing vinyl sets in London bars and Summum Ibiza. In 2014 she started house night 'A Very Important House Party', a celebration of decades of house with a glam dress code. More recently she's played on some stellar line-ups alongside X-Press 2, Lisa Loud and Shades of Rhythm, and played Defected afterparties in Croatia and Malta."
"Steve Thorpe","The Fortress","https://soundcloud.com/djstevethorpe","DJ Steve Thorpe is the main man behind legendary Manchester club nights Tangled Breaks and the multi-award winning Lowdown. Steve is well known on the scene for his eclectic mixes of upfront, funky, bass-laden breakbeats, covering a broad range of broken beats from old skool to nu skool.    "
"Toby Ross","Stumblefunk","https://soundcloud.com/tobyross1?fbclid=IwAR24P-SeW6imFopMy1Lt5v8MWuOtwqiM9SqOiY-Q_E8bBplCBYUoMn_eFbI","Bristolian Junglist Toby Ross has been making movements in the D&B scene for the last few years, gaining him recognition from some of the hottest names, including noteable releases on labels such as Dnb Allstars, Liondub International, Jungle Cakes, Deep In The Jungle Records and more. His sound is a unique style of jungle infused rollers which is always known to rock up the dance, with a perfect blend of heavy hitters, unreleased bangers and his own productions."
"Tropigyal","The Fortress","https://soundcloud.com/tropigyal","Leeds gyal Mollie is Tropigyal, playing ragga, D&B, jungle, speedy G and 4x4 stompers! She's a recent addition to the Leeds-based label and event organiser Frequencies, a flavour parlour of underground bangers. Show her some love at The Fortress and she'll show you some naughty tuneage and dutty basslines."
"TWOGOOD","Toil Trees","https://soundcloud.com/twogoodofficial","It’s not too bad if TWOGOOD are showing up. Leeds based DJs/producers Tom Mitchell and Jonny Rhodes have been tearing the funk/nu disco scene apart since early 2014 with their new take on the classic genre. With more bongos than Chief Magubu and bass hooks fat enough to catch a marlin, they’ll have you sweating like a pig in labour."
"Where's North?","The Fortress","https://soundcloud.com/wheresnorth","*"
"X-Ray Ted","The Ring","https://soundcloud.com/xraybreaks","X-Ray Ted is a DJ and producer from Bristol specialising in party breaks, hip hop, funk, disco and bass. His multi-genre sets and production have gained him support from the likes of DJ Yoda, The Craig Charles Funk and Soul Show on BBC 6 Music, and international clothing label Superdry. His energetic live sets, paired with his technical ability as a turntablist, have gained him headline performances across the globe."
"Breaksmiths (B2B with EZEE)","Stumblefunk","undefined","Break a leg getting hyped off your nut with Breaksmiths, here at Stumblefunk representing Leeds' much-loved Mood Swings event. Breaksmiths go hard with a wide selection of hip hop-influenced jungle riddims and rolling kicks."
"Craig Woolstencroft","Trash Manor","undefined","Curator and resident DJ of Cosmic Ritual Events, presenter on Konflict Radio, Craig is currently playing global psychedelic music, film soundtracks, library music, post punk, cosmic oddities and other non hit wonders from around the world. He's been proud to be a part of Trash Manor, Further, Vionel Swichie and Friends, 0282 doings, Headphunx and more!"
"Dilutey Juice","The Factory","undefined","Double-concentrate anthems from eclectic North East collective Dilutey Juice, pouring out a cocktail of Vimto, intense brass and onslaught drums to get your body moving. Their mission statement is to “make the audience go absolutely radge” - exercise caution with this one and for the love of God don't sup them neat!  "
"DJ Dimes","Trash Manor","undefined","A stalwart of the Lincoln music scene and a DJ since 88. Jay Dimes plays eclectic beats but is firmly routed in hip hop. Soul. Funk. House.                                                                "
"DJM","The Fortress","undefined","Leeds man DJM – AKA Dan the Hat – has been mashing up the North since 2006, making mix cocktails you'd never expect. A founding member of Quake Soundsystem and turntablist in A Man About A Dog, DJM has risen from the underground scene to the festival and club circuit in the UK and beyond, playing along a list of luminaries including Lee Scratch Perry, Beardyman, Krafty Kuts, A-Skillz and plenty more!                                              "
"Dub smugglers sound system","Stumblefunk","undefined","Going further, harder and spreading more vibes than ever before, the Dub Smugglers will have you all smiles with their bounteous reggae sound. Since their inception they’ve gone on to perform alongside the finest names in dub and reggae including: Channel One, Mungos Hifi, Trojan Sound System, Iration Steppas and Tippa Irie. You’d be a mug to miss the Smugglers."
"Emma Clair","The Snug","undefined","Longtime vinyl-botherer Emma has made waves in her native Manchester and all over the North with her electro swing-based cocktail of vintage vocals, classic big beat and brass, with modern percussion and bass. Head honcho of Prohibition, one of the largest events in the North for electro swing, she's also a Snug Resident and one of the best artists around . Honoured to have her back , fresh from storming Toil Trees. This will be brilliant    "
"Gina Moretti","The Ring","https://soundcloud.com/ginamoretti","Leeds-based Gina plays a blend of raw and uplifting vocal house, disco and everything in between, inspired by Annie Mac, Cassy, Heidi, Honey Dijon etc. Live performance highlights include warming up for Bob Sinclar at The Lofts in Newcastle, hosting events and DJing at The Warehouse, Mission, Hifi Club, Distrikt, Fibre, Chow Down in Leeds, and several gigs in Dubai, where she lived and held a residency on the Palm Jumeriah whilst running her own boat parties! Get on board with Gina at The Ring."
"Grinny Grandad","The Fortress","http://soundcloud.com/grinnygrandad","Shots of five-a-day feel-good funk from York’s very own happy-go-lucky octogenarian. Steer him in the right direction towards the stage and you’ll be grateful he's kept it going this long as his sun-drenched sounds lift you up above the Red Stripe-drenched grass. Sometimes the phrase respect your elders actually pays off!"
"Gull","Trash Manor","undefined","*"
"It's Not The Messiah, It's Moody Manc!","The Parish Church","https://soundcloud.com/moodymanc","*"
"Jazz Club with Barry & Fraser","Trash Manor","undefined","DJs Barry's Here and Fraser will once again be repping Jazz Club amongst the high jinks and tomfoolery of Beat-Herder. Proud to be invited back to the Trash Manor stage, the JC residents will be selecting the finest in uptempo jazz bizness from around the world. It's what Sundays are made for, getting clattered and dancing in a field with your mate!"
"Joe Morris","Toil Trees","https://soundcloud.com/joemorris","As one of the most respected DJ on Leeds’s illustrious dance music circuit Joe has been involved in the underground scene for over twenty years. He favours a melodic touch, expertly crafting emotive scenarios from dance-floor to chill out atmospheres. He's enjoyed a string of well-received releases on labels such as Pleasure Unit, Paper Recordings, Is it Balearic and Secret Life Music, and has played everywhere from smoke-filled basements to festival stages."
"Kenneth Kaos","Trash Manor","undefined","Fractal lovechild of Mork, Colombo and a pan-dimensional hearth rug. Kenneth aka The Squinting Burrito has a penchant for Set End Rave tactics and setting things alight, mostly floors, sometimes pallets. Currently on a 3-match ban from The Snug, by some suspect booking glitch he is opening Trash Manor."
"Krin","The Factory","undefined","A producer on the up, Sara Krin has released EPs on labels IAMT and Say What? Records, gaining support from the likes of Paco Osuna, Cristian Varela and Drunken Kong among others. Her track 'Attack' was also one of he 100 best techno tracks of the year 2022 on Beatport. Known for her melodic, forceful techno offerings, she's been playing all over Europe and South America and is one to keep and eye on.                                             "
"Lena C","Trash Manor","https://soundcloud.com/lena_y_a_c","French-born DJ and producer Léna C. loves digging and sharing sounds from all around the world. Her first EP came out earlier this year and exudes her eclectic influences mixing modern with vintage electronic and traditional sounds. Léna’s mixes and productions have been found across the airwaves of NTS, Worldwide FM, Soho Radio, Tsugi Radio, Radio Al Hara and she hosts a monthly show on Liverpool-based webradio Melodic Distraction. Léna is a vinyl aficionado and has recently been invited to record a vinyl show for the YouTube channel My Analog Journal"
"Lindsay Walsh","Trash Manor","undefined","Lindsey Walsh, resident Trailer Trash DJ is a self-described creature of the night, screecher of the day. She loves minor chords, dogs and horses, and will endeavour to become an invaluable part of your weekend with her choice of decor, decorum & decadent ditties (an acquired taste)."
"Makimak","The Fortress","undefined","Booty, bass and beats from Bristol's own mac daddy. With airplay on Gingerfeather FM and playing livestreams as part of the Mac N Cheese Double Baked project, Makimak's making magic with his butt-busting bass efforts."
"Mooqee","The Ring","http://www.soundcloud.com/mooqee","Leeds-based Mooqee is well good at making folk shake what their mama gave them. On top of wowing crowds with his energetic edits and remixes, co-managing the infamous Bombstrikes record label and running hugely successful clubnight Sugarbeat alongside Utah Saints, Mooqee's funkified drum & bass productions have seen airtime on Radio 1, Kiss, and XFM. What're you waiting for folks? Get yer sen down to Mooqeeland for an unmissable set from this beat-bothering fireball!"
"Mr Rocksteady & The Professor","The Perfumed Garden","undefined","Soul, funk, roots and rocksteady maestros together with 85 years of knowledge, handing out musical nuggets on slabs of the old black gold 45s that have been sampled by everyone not so famous!                                                                                "
"Nema Kuta","Smoky Tentacles","https://soundcloud.com/nemakuta?fbclid=IwAR1_Bnd2IsA8Xl9XWf92WmVyqbEO7Y3bW9z6xRmBxJUWReZjeNhETf2xlxY","Ben-Jamin is a drummer first and foremost but that doesn’t stop him diving headlong onto the decks to show us all a jammin’ good time. Roots, world music and anything with chunky funk aplenty is fair game to this easy geezer. If he’s feeling extra freaky he’ll add some live percussion to his DJ set so get on your feet and nice it up!              "
"Peza","The Factory","undefined","Wolverhampton wanderer Lee Perry has gone from strength to strength on the nu-disco and re-edit scene, having collaborated with and remixed the likes of Damon Albarn, Greg Wilson, Dicky Trisco, and Tronik Youth, on labels like Maxi Discs, A&R Edits, Midnight Riot, Magic Feet Records, Nein Records, PlayPal music and many more. He’s played on the same bill as the likes of Aphex Twin, 808 State and Bentley Rhythm Ace, and continues to develop a completely live set that will consist of dynamic performances and improvised acid grooves with flavours of disco, funk and all things deep!                                                                          "
"Red J","Trash Manor","undefined","Manor regular since Trash had Trailers, and Toil Trees were windmills, Red J returns to Beat-Herder. Raised on a musical diet of the best Lancashire and the world have to offer, expect a solid selection from the red one from the Manor!"
"Rev Schnider","Trash Manor","undefined","The Rev Schnider and The Band of Angels are a travelling musical sensation, playing bible-bashing, devil-worshipping, outlaw country music from Hell! Love Power Sacrifice! Blood Guts Glory! Repent Sinners the end is nigh!"
"Ring The Alarm Soundsystem","Smoky Tentacles","undefined","Northwest-based soundsystem, club night and label fronted by brothers Lunatix and Organiza, Ring the Alarm have been nicing up the area since 2011. Expect an uplifting mix of digital rubadub and dancehall classics thrown in with their signature stack of dubplates and original productions.             "
"Sanscrypt","Trash Manor","undefined","Coming out of the blocks with all bhangra guns blazing, this living legend is planning a matinee set of rare Bollywood disco and other delights with his impeccable musical selections. Truly we are blessed."
"Shaka Loves You","The Ring","https://soundcloud.com/shakalovesyou","Fresh
  from the sunny streets of Glesga come Shaka Loves You, top dogs in the AV
  funk kennel north of the border. Resident rabble-rousers at Weegie funk-pit
  The Buff Club, SLY have shared the stage with luminaries like DJ Yoda, Mr
  Scruff, and James Lavelle. Brace yourself for a full audio-visual experience
  with live percussion and elements of funk, soul, disco & hip-hop."
"The Beatles Dub Club","Toil Trees","https://soundcloud.com/beatlesdubclub","Let him take you down to Strawberry Fields with a special DJ set showcasing the Fab Four like you've never heard before! DJ Chris Arnold takes you on a magical mystery tour of his collection of covers, remixes and tracks that sampled classics from the godly Scouse psychedelians. Beatlemania never dies, it just gets a remix!"
"The Groovy Train","BH&DWMSC","undefined","There’s no one keeping the faith more than these two pensioners from the North of England. These boys will keep on going strong cos it’s their way of life. The WMC will be rammed with nice people, dancing to sweet soul music."
"Veba ","Toil Trees","undefined","An accomplished dance floor polymath and highly esteemed meta-normal Wizardess; Veba consistently curates deeply visceral and varied sessions of spell-binding. Concentrating intricate layers of sumptuous titillation into every rhythmic incantation, she generates powerful motions on physical, emotional and extra dimensional planes. Music with extra music in it. Indulge."
"2 Kool Tony","Trash Manor","undefined","The Heavy Crates CEO has played all over the world supporting KRS1 and many more. Way too kool for skool, borderline too kool for Beat-Herder – will he show up?"
"7" Sal & Son","Trash Manor","undefined","7” Sal AKA Popstitute digs deep into her box of seven-inch wonders to deliver a miscellany of pop, high NRG, disco, house and hip hop: 45s from all eras with extra bumps, grooves and scratches to get the party going!                                                                                "
"Andy Cap's Power Hour","BH&DWMSC","undefined","I’d love to know what he’s got hidden under that bloody cap. Any road up, Monsieur Cap’s half-hour of power will get you mangled, spangled and Mr Bojangled! Hats off to you, sir! "
"APH","Stumblefunk","undefined","Anna Pixie Holmes aka APH is a drum and bass DJ residing in Bristol. Widely regarded for her energy-driven sets, she has steadily built up a solid reputation for her sublime three-deck mixes of new school heavy rollers and future classics, with homage also paid to foundational jungle and D&B. She's been smashing some of the biggest festivals such as Glastonbury, Boomtown, Nass, and Shindig weekender. APH is also part of the all-female DJ outfit Kitten Club, and has been selected tour DJ for Catching Cairo, Eva Lazarus and Gardna."
"Avant","Stumblefunk","https://soundcloud.com/noctemavant","Avant is another moniker of Leeds-based Ryan Sewell, under which he plays eclectic disco, house and funk. Associated with the R:EVOLVE brand born from club nights in Bradford, Ryan knows his way around the decks and is going to get Stumblefunk rumbling."
"Badger","The Factory","https://soundcloud.com/badgermusicartist","Deranged hedgerow DJ foraging from Bristol, with releases on Night Bass, Crucast, 1Forty, Wub Club, Beastwang and more, and track plays on Radio 1, 1Xtra, Kiss, Rinse and so on, Badger has also reached a #1 on Juno. Catch the black and white beast at The Factory."
"Boe & Lx","The Ring","https://soundcloud.com/boe-lx","Arguably Leeds’ finest export after Alan Smith and those blokes that started up Marks & Spencer (what were their names?), Boe & Lx are cruising over to Beat-Herdershire to lay down the law with their trademark blend of disco, soul and funk through to deep house and techno. Warriors of the White Rose unite!"
"Bombstrikes Soundsystem","The Ring","http://www.soundcloud.com/bombstrikes","We imagine you’ll have a blast when the Bombstrikes team turn The Ring into a demolition zone. These superfly-TNT motherlovers peddle the best in bass, funk, party and beats. One of the originals, Bombstrikes is a scene-defining label run by Mooqee and Beatvandals. Sure to go out with a bang!"
"BushRocker HiFi with Dubdadda, Alexis & Lady Ce","Bushrocker Hi-Fi","undefined","A Bushrocker smorgasbord featuring some heavy hitters. Alexis is a solo vocalist working mostly in reggae, dub and D&B, associated with Freedom Masses and recently with Roots Addis Muzik. The Dubdadda, or Jono as he is known throughout the reggae world, is one of the mainstays of the UK reggae scene. Hailing from Manchester he was a founder member of the renowned Community Charge. Expect him throughout the weekend nicing it up on the mic. Lady Ce is a Lancashire lass bringing you vocals, with dub and reggae at the heart of her sound, recently heard honing her skills at free parties, reggae shows and alongside the mighty Bushrocker Hi Fi."
"BushRocker HiFi with Friends & Family","Bushrocker Hi-Fi","undefined","Founded by Cojo (RIP) now ran & maintained by Purdie, Matty Banton, Prof P, Sister Emma, Dub Dadda & the Bushrocker FamilyExpect to hear Dubplate exclusives, upfront Roots Reggae & much more."
"Chris Holt Four Corners","Trash Manor","undefined","Four Corner and Tropical Disco Record collector, producer, DJ, promoter and radio presenter with a career spanning 3 decades – Chris's eclectic music taste never fails to make you dance. Currently running "Tropical Disco" club nights in the UK and hosting a radio show of the same name in Portugal, playing his own brand of electronic sunshine dance music."
"Chum Chon Hi Fi","Stumblefunk","undefined","Co-conspirator of heavies like Jinx in Dub and Chunky is Todmorden audiologist Chum Chon Hi Fi, blasting choice selections of soul-quaking boogie fuel from the imposing handmade Chum Chon Hi Fi soundsystem.                                                                               "
"Curtis Zack","The Fortress","undefined","Described by Touch magazine as ‘the consummate resident’, Curtis Zack has held residencies at some of the North’s most famous clubs, including nights such as Vague, Speed Queen and Venus. He's played everywhere from Pacha, Federation, Southport Weekender VIP, Miss Moneypennies, Blend, and the Manchester Mardi Gras to international slots in Spain, Germany, Dubai and beyond. Curtis has also produced cuts on Cleveland City and remains one of a few people from the UK to have released material on the classic Chicago Trax label."
"D'Oink","Stumblefunk","https://soundcloud.com/drpiglet?ref=clipboard&p=i&c=1&si=7AF44CDFBB0D4BEA8863269A11778819&utm_source=mobi&utm_medium=text&utm_campaign=social_sharing&utm_terms=mobi_audio_ads.control","AKA Dr Piglet, D'oink snuffles truffles and makes crowds shuffle like someone with a gluttonous appetite for fun. Co-founder of G.O.D Soundsystem, this happy hog has been spinning dubwise vinyl, jungle, and DnB at club nights, festivals and free parties for over a decade."
"Dave The Ruf","Stumblefunk","undefined","Dave the Ruf set up and ran the legendary hip hop & breakbeat label RUF BEATS which ran from 1993-2005 whilst making 12 albums and 22 x 12"s under his artist names JEEP BEAT COLLECTIVE and MINDBOMB. He produced the award winning Radio Zero shows from 1995-2005 and wrote for key music publications in the UK. He toured as a block rocking DJ extensively from 1994-2005 including several European Tours and dates. He became a key member of the Peace not War collective, then Stumblefunk free party crew in 2004 before founding and hosting Manchester's seminal club night DRUM MUSIC from 2004-2016. A mainstay of MCR bars with his long 6 hour dj sets taking in a vast array of genre's and styles, this DJ will be firing on a chunky bag of DJ vinyl originals to ensure your upliftment yet again at Beat-Herder, which he has played at since 2006.                                                                            "
"Dirtbox Dj's","Toil Trees","undefined","Venturing forth from the caves of their spiritual homeland of Keighley, the dirty dozen are usually responsible for making dangly bits tremble with their famous soundsystem. This year they're traveling light, but the bass will be just as heavy! Prepare to get out of your box and deep into the dirt.                      "
"DJ Norx","The Ring","https://soundcloud.com/djnorx","DJ NorX has been producing and DJing breakbeat, electro breaks, ghetto funk and funky breaks for over 10 years. His track with Veslemoy, lead singer of breakthrough band Wet Mouth, has been featured on BBC Introducing. He's been involved in curating breaks night "SubSound" and other music showcase projects in Liverpool and elsewhere."
"DJ Stivs","Stumblefunk","https://soundcloud.com/stivs","DJ
STIVS - Mashing up the dance with a badman blend of jungle, raggatek and
breakcore. A true giant of the underground dance scene, Stivs is a founding
member of the infamous Life4Land Sound as well as several independent record
labels. As one third of bass-terrorist trio The D.S.C., Stivs has been steadily
hacking away at the rave scene for over a decade, lumping speakers across muddy
fields, inhabiting warehouses for one night and one night only, and playing
dirty ragga-jungle, breakcore and raggatek to jumping party people across the
globe, entertaining ravers at clubs, Teknivals, raves and festivals since the
year 2000."
"Dub Smugglers","Bushrocker Hi-Fi","undefined","Going
  further, harder and spreading more vibes than ever before, the Dub Smugglers
  will have you all smiles with their bounteous reggae sound. Since their
  inception they’ve gone on to perform alongside the finest names in dub and
  reggae including: Channel One, Mungos Hifi, Trojan Sound System, Iration
  Steppas and Tippa Irie. You’d be a mug to miss the Smugglers."
"Electrick Blue","Sunrise","https://soundcloud.com/electrickblue","With her exquisite track selection, solid sense of groove and choice cutting edge psychedelic music, Electrick Blue has gained a well deserved reputation as a must see multi genre DJ all over the Northern UK psychedelic underground scene. She has performed at many festivals and events including Anthropos, Beatherder, Equinox, Solfest and more.                                                                       "
"Elf Traps","The Perfumed Garden","undefined","Manchester’s latest complex synth-routed and mechanised robotic percussion jazz and electronic duo. Comprised of Liviu Gheorghe (formerly of Matthew Halsall) and Rob Turner (formerly of GOGO Penguin), their sound has been described as a ‘sonic exploration of the universe’, incorporating high-energy breakbeats, psychedelic synth textures, acid bass lines, and explosive jazz-infused virtuosic improvisation.                            "
"Emma Clair","Toil Trees","undefined","Manchester-based DJ and purveyor of vintage beats, electro swing, house, techno and everything in between, Emma is one of the most respected female DJs in her field. Her signature vocal-led style is undercut with techy beats and killer basslines. She's played at some of the largest venues in the UK including Ministry Of Sound, Gatecrasher Birmingham and Gatecrasher Leeds. She is also a firm favourite on the underground scene having played events such as Illuminaughty, Low Down & Dirty, Planet Zogg and Strange Daze."
"Eric The Red","Smoky Tentacles","undefined","Eric the Red is a UK hip hop artist on RLD records and Lost Scroll Records. Brother of rapper Leaf Dog and producer Illinformed, Eric created a career off the back of his lyricism with Leaf and Illinformed regularly on the beat. Since his 2016 Test Subjects collaboration album alongside the Creatures Of Habit collective, Eric made a name for himself staying true to the ways of old school hip-hop."
"Fairbank","Stumblefunk","https://soundcloud.com/fairbankdnb","Showrunner of the Bradford based 'Wave Crew' and hyper fixated crate-digger of DNB/Jungle bootlegs, DJ Fairbank is best known for his high-energy, non-stop artillery barrage drum & bass sets even your nan breaks the zimmer frame out for. There's only one rule: bring a spare pair of undercrackers! It's about to get messy."
"Grace Garcia","The Ring","undefined","Grace Garcia is back at Beat-Herder by popular demand after her successful debut last year. The up-and-coming DJ has been making waves across the country with her fresh spin on disco house and her uplifting performances. Grace Garcia is a trailblazer and truly a name to watch out for, she is sure to bring all the sunshine and energy back to The Ring this year. You won’t want to miss it!"
"Grumpy Grandad","BH&DWMSC","undefined","“Get thi sen to’t’barber lad! Tha looks a rate scruff! Bloody youth o’today wi’all this festival rubbish, bring back national service an’ get ‘em smartened up! Come dahn to t’Working Mens’ and I’ll learn thee summat about twerkin’. I said workin’, not twerkin’! Where’s me glasses?”"
"James Patta","The Factory","undefined","*"
"Jez Utah Disco & Funk Set","The Ring","undefined","The secret Saturday sun session. From the age of 5, Jez Utah has been listening to as many genres of music as he can find. This has resulted in an open but confused mind full of dance music. No pressure, just enjoy the music, curated by one of the world’s finest funk fans."
"Jim McGuinn","The Factory","undefined","Currently orbiting Sheffield, Jim is a resident DJ at Frog & Parrot, and a resident/promoter of SESSIONS. He's hit up festivals like Glasto, Lakefest, Lindisfarne and of course our own rodeo. Jim's also part of the Rock & Roll Lounge team of DJs playing mod, ska, R&B, Northern Soul and the like.                         "
"JIMBITCH","Stumblefunk","undefined","Oldskool raver and original junglist Jimbitch has been djing for 30 years at free parties, teknivals, Raves and Festivals across the UK and Europe. A regular on pirate radio's no.1 KOOL FM and recently UNDERGROUND BASS dropping propa Oldskool Hardcore and early junglism for the heads."
"Karl Roscoe","Trash Manor","undefined","Starting out as a drum and bass DJ, Karl worked at Eastern Bloc Records in Manchester alongside Mark Turner and co. before his tastes mushroomed and he took more of a no-limits outlook. His penchant for varying the style of his facial hair in many ways reflects this: you could get beard-stroking techno, moustache-twiddling disco or house music set to part your sideburns. Whatever it may be, it be brill.                                    "
"Key-Lo","Stumblefunk","undefined","Joining the dots between Breakbeat, Techno, Acid and House music, Key-Lo will be providing a selection of bass heavy whoppers to make you sweat!                                                             "
"Liz Collier","The Perfumed Garden","undefined","Liz Collier is an artist/5rhythms teacher/gardener/cleaner/accidental DJ. Making a welcome return to the Perfumed Garden playing a selection of unpredictable dance music from around the world."
"Madz","Stumblefunk","undefined","In world saturated by one dimensional beatboxers, Madz made stands out as some one who is truly unique in his endeavours, (he is a craftsman) not a commercially desperate performer who tries to haphazardly fit into every audience members expectations of what beatboxing should be, instead he takes the road less traveled integrity through the love and careful consideration of the beat. He leads and we follow, he sets a tone that then in turns brings forth an elaborate change over us all a sense of entwined artistic community Madz truly lives up to his name with live progressive rhythmic bass-heavy sets full of pure energy that fusion live music and electronic dance music into one""
"Matty Robbo","The Fortress","undefined","Back again getting on it like a car bonnet at The Fortress, Burnley lad Matty has also been spinning at Old Skool Ibiza, Drop the Beat and Rejuvenation. He's had residencies at Remedy Gin Bar and Mojitos, and his mixes feature house, charts, oldskool, tech house and deep house.                                          "
"Mr H's","The Fortress","undefined","Walking Tall Underground founder and Budgies/Killa-Dilla-Disco head honcho Mr H's has tinkled & twisted through the best part of the North West and North Wales underground dance scene for over 25 years. He's run/DJ'd at an assortment of underground club nights, tours, raves and festivals, sharing line ups with the likes of Graham Park, Deekline, Ralph Lawson, Paul Woolford, Hybrid, Tim Sheridan, Solardo and Paul Hartnoll to name a few."
"MrDunn","The Fortress","undefined","MrDunn has been knocking around since ‘91    DJing in underground techno clubs in the UK and Ireland and he’s still pushing his groovy sound and style of techno .                                          "
"Ms McQ","BH&DWMSC","undefined","She's here, she's there, she's bloody everywhere! Ms McQ will once again herald the main stage and provide musical interludes between each band, as well as performing in the WMC."
"No Pressure Collective","Smoky Tentacles","undefined","No Pressure Collective was created by Prince Ego-ogan (TRE) under the No Pressure Music Label. Prince created this collection for potential artists without having them worry about good-quality music production. No pressure to see them, but if you don't, there'll be consequences..."
